date,state,deaths
3/31/2020 12:00:00 AM,Arizona,8
4/1/2020 12:00:00 AM,Arizona,3
4/1/2020 12:00:00 AM,Arizona,8
4/1/2020 12:00:00 AM,Arizona,10
4/2/2020 12:00:00 AM,Arizona,1
4/2/2020 12:00:00 AM,Arizona,8
4/2/2020 12:00:00 AM,Arizona,11
4/2/2020 12:00:00 AM,Arizona,12
4/3/2020 12:00:00 AM,Arizona,1
4/3/2020 12:00:00 AM,Arizona,4
4/3/2020 12:00:00 AM,Arizona,8
4/3/2020 12:00:00 AM,Arizona,11
4/3/2020 12:00:00 AM,Arizona,17
4/4/2020 12:00:00 AM,Arizona,1
4/4/2020 12:00:00 AM,Arizona,2
4/4/2020 12:00:00 AM,Arizona,10
4/4/2020 12:00:00 AM,Arizona,12
4/4/2020 12:00:00 AM,Arizona,28
4/5/2020 12:00:00 AM,Arizona,1
4/5/2020 12:00:00 AM,Arizona,9
4/5/2020 12:00:00 AM,Arizona,10
4/5/2020 12:00:00 AM,Arizona,12
4/5/2020 12:00:00 AM,Arizona,31
4/6/2020 12:00:00 AM,Arizona,1
4/6/2020 12:00:00 AM,Arizona,10
4/6/2020 12:00:00 AM,Arizona,13
4/6/2020 12:00:00 AM,Arizona,31
4/7/2020 12:00:00 AM,Arizona,1
4/7/2020 12:00:00 AM,Arizona,12
4/7/2020 12:00:00 AM,Arizona,13
4/7/2020 12:00:00 AM,Arizona,14
4/7/2020 12:00:00 AM,Arizona,35
4/8/2020 12:00:00 AM,Arizona,1
4/8/2020 12:00:00 AM,Arizona,3
4/8/2020 12:00:00 AM,Arizona,7
4/8/2020 12:00:00 AM,Arizona,14
4/8/2020 12:00:00 AM,Arizona,16
4/8/2020 12:00:00 AM,Arizona,37
4/9/2020 12:00:00 AM,Arizona,1
4/9/2020 12:00:00 AM,Arizona,3
4/9/2020 12:00:00 AM,Arizona,7
4/9/2020 12:00:00 AM,Arizona,15
4/9/2020 12:00:00 AM,Arizona,20
4/9/2020 12:00:00 AM,Arizona,39
4/10/2020 12:00:00 AM,Arizona,1
4/10/2020 12:00:00 AM,Arizona,2
4/10/2020 12:00:00 AM,Arizona,3
4/10/2020 12:00:00 AM,Arizona,5
4/10/2020 12:00:00 AM,Arizona,7
4/10/2020 12:00:00 AM,Arizona,15
4/10/2020 12:00:00 AM,Arizona,20
4/10/2020 12:00:00 AM,Arizona,41
4/11/2020 12:00:00 AM,Arizona,1
4/11/2020 12:00:00 AM,Arizona,2
4/11/2020 12:00:00 AM,Arizona,3
4/11/2020 12:00:00 AM,Arizona,5
4/11/2020 12:00:00 AM,Arizona,7
4/11/2020 12:00:00 AM,Arizona,15
4/11/2020 12:00:00 AM,Arizona,29
4/11/2020 12:00:00 AM,Arizona,47
4/12/2020 12:00:00 AM,Arizona,1
4/12/2020 12:00:00 AM,Arizona,2
4/12/2020 12:00:00 AM,Arizona,3
4/12/2020 12:00:00 AM,Arizona,4
4/12/2020 12:00:00 AM,Arizona,8
4/12/2020 12:00:00 AM,Arizona,21
4/12/2020 12:00:00 AM,Arizona,29
4/12/2020 12:00:00 AM,Arizona,48
4/13/2020 12:00:00 AM,Arizona,1
4/13/2020 12:00:00 AM,Arizona,2
4/13/2020 12:00:00 AM,Arizona,3
4/13/2020 12:00:00 AM,Arizona,4
4/13/2020 12:00:00 AM,Arizona,8
4/13/2020 12:00:00 AM,Arizona,21
4/13/2020 12:00:00 AM,Arizona,29
4/13/2020 12:00:00 AM,Arizona,52
4/14/2020 12:00:00 AM,Arizona,1
4/14/2020 12:00:00 AM,Arizona,2
4/14/2020 12:00:00 AM,Arizona,4
4/14/2020 12:00:00 AM,Arizona,5
4/14/2020 12:00:00 AM,Arizona,9
4/14/2020 12:00:00 AM,Arizona,22
4/14/2020 12:00:00 AM,Arizona,32
4/14/2020 12:00:00 AM,Arizona,54
4/15/2020 12:00:00 AM,Arizona,1
4/15/2020 12:00:00 AM,Arizona,2
4/15/2020 12:00:00 AM,Arizona,4
4/15/2020 12:00:00 AM,Arizona,5
4/15/2020 12:00:00 AM,Arizona,10
4/15/2020 12:00:00 AM,Arizona,24
4/15/2020 12:00:00 AM,Arizona,34
4/15/2020 12:00:00 AM,Arizona,60
4/16/2020 12:00:00 AM,Arizona,1
4/16/2020 12:00:00 AM,Arizona,2
4/16/2020 12:00:00 AM,Arizona,4
4/16/2020 12:00:00 AM,Arizona,5
4/16/2020 12:00:00 AM,Arizona,11
4/16/2020 12:00:00 AM,Arizona,26
4/16/2020 12:00:00 AM,Arizona,37
4/16/2020 12:00:00 AM,Arizona,64
4/17/2020 12:00:00 AM,Arizona,1
4/17/2020 12:00:00 AM,Arizona,2
4/17/2020 12:00:00 AM,Arizona,4
4/17/2020 12:00:00 AM,Arizona,5
4/17/2020 12:00:00 AM,Arizona,11
4/17/2020 12:00:00 AM,Arizona,29
4/17/2020 12:00:00 AM,Arizona,51
4/17/2020 12:00:00 AM,Arizona,69
4/18/2020 12:00:00 AM,Arizona,1
4/18/2020 12:00:00 AM,Arizona,2
